Unnamed: 0,Country_name,x2011_AO,x2014_AO,x2017_AO,x2011_PCI,x2014_PCI,x2017_PCI,x2011_SUBS,x2014_SUBS,x2017_SUBS,2011,2014,2017,x2011_SUBS_norm,x2014_SUBS_norm,x2017_SUBS_norm
58,Kazakhstan,42.10509491,53.90741729999999,58.69753265,7106,8826,6544,25240800,28595600,26693300,16490.668999999998,17302.619,18080.023,153.06110382786778,165.26746615642406,147.63974581227026
59,Kenya,42.34345627,74.65783691,81.56756592,821,1082,1277,28080800,33632600,42815100,43178.27,46700.062999999995,50221.14599999999,65.03456484013834,72.0183182622259,85.25313221645719
61,Kuwait,86.77324677,72.90818024,79.84015656,41128,38971,29362,4934160,7600000,7138830,3168.054,3690.9390000000003,4056.1020000000003,155.74734521570656,205.9096614709698,176.00223071313292
63,Latvia,89.65882874,90.21825409,93.22247314,10444,11887,12038,2309000,2384000,2464120,2093.606,2021.22,1951.0970000000002,110.28818220811365,117.94856571773484,126.29407968952849
64,Lebanon,37.02732468,46.92713547,44.75142288,6282,6222,6268,3456650,4387280,4399090,5202.022,6261.045999999999,6819.3730000000005,66.44820033440843,70.07263642528741,64.50871656382485
65,Lithuania,73.75519562,77.90628815,82.88385009999998,12010,14162,14112,4938000,4267590,4361330,3083.402,2971.498,2845.4190000000003,160.1477848169003,143.61746163046382,153.27549299417765
66,Luxembourg,94.58679199,96.16869354,98.76785278,66255,65254,56294,764973,802400,794000,519.312,554.512,591.914,147.305088270635,144.70381163978416,134.14110833668406
67,Madagascar,5.523222923,8.551339149,17.86787033,453,441,436,8680770,9713880,8730500,21743.97,23589.897,25570.511000000002,39.92265441867332,41.17813655566194,34.14284524857559
68,Malawi,16.54061127,18.09241867,33.71393204,425,279,268,3951570,5632510,7772500,14962.118,16289.55,17670.193,26.410498834456458,34.57744382134559,43.986503146853
69,Malaysia,66.17381287,80.67462158,85.34375,7881,8431,7628,36661300,44928600,42338500,28650.962000000003,29866.606,31104.655,127.95835616270055,150.43088591987987,136.11628227350536
70,Mali,8.213852882000001,20.07604027,35.41667938,661,691,664,10821900,23505600,22034100,15514.593,16934.213,18512.429,69.753038316893,138.80538764925183,119.0232789008941
71,Mauritania,17.46181488,22.86588287,20.872507100000004,1424,1249,1260,3314770,3753330,4074160,3598.6459999999997,3930.8940000000002,4282.582,92.11158863639271,95.48285962429921,95.13326306419819
72,Mauritius,80.12320709,82.20826721,89.8425293,7493,9079,9681,1294100,1652000,1839500,1251.0739999999998,1257.351,1264.497,103.43912510371092,131.38733734653252,145.47286391347706
73,Mexico,27.42938423,39.14084625,36.9319191,7876,8544,7251,94583300,104948000,114329000,115695.46800000001,120355.13699999999,124777.326,81.75194900460578,87.19860457638798,91.6264225761658
75,Mongolia,77.71708679,91.82178497,92.97116852,2529,2974,2132,2942310,3027240,3886170,2770.357,2940.111,3113.788,106.20688958137887,102.963459542854,124.80522116470357
76,Montenegro,50.43801498,59.82601166,68.36179352,6565,6480,6884,1159110,1013300,1044670,625.271,626.65,627.563,185.37722043721843,161.7011090720498,166.46456212364336
77,Nepal,25.30855751,33.80134964,45.38557434,642,691,816,13354500,23021300,36096400,27041.22,26905.982000000004,27632.682,49.38571558531753,85.56201368156717,130.62937575151048
78,Netherlands,98.65853119,99.29560089,99.63761902,45259,43355,40898,19829300,19562000,20532000,16738.191000000003,16892.517,17021.343,118.46740188351296,115.80275455694375,120.625029411604
79,New Zealand,99.43672943,99.52553558,99.17844391,30788,36233,34385,4820000,5100000,6400000,4418.674,4567.522,4702.029,109.08249850520768,111.65791867012354,136.11145316202857
80,Nicaragua,14.21833229,19.43848419,30.86199188,1403,1633,1837,4823530,7067860,8179880,5903.035,6142.734,6384.843000000001,81.71271218957705,115.06049260801461,128.11403506711125
81,Niger,1.521698713,6.7065877910000005,15.52324486,453,477,439,4742880,8236400,8778880,17114.77,19240.182,21602.388,27.71220413712834,42.8083268650993,40.63847015431812
82,Nigeria,29.66753769,44.44198608,39.66685867,1900,2646,1585,95167300,138960000,144920000,162805.08,176404.931,190873.247,58.45474846362288,78.77330821324944,75.92473134802385
84,North Macedonia,73.69894409,71.79850006,76.56877136,3922,4271,4205,2213220,2224440,2008010,2072.484,2077.78,2081.996,106.79069174961062,107.05849512460412,96.44639086722549
85,Pakistan,10.30629635,13.03619194,21.29324532,1126,1235,1456,108895000,135762000,144526000,183340.168,195305.012,207906.21,59.39505847949261,69.51280902099943,69.51499909502463
86,Panama,24.9264946,43.66213989,46.49425888,8352,10967,13189,6735430,6906090,5280200,3706.4790000000003,3901.3109999999997,4106.764,181.72044142162952,177.01972490785792,128.57325134826348
87,Peru,20.45868492,28.97523308,42.60317993,4671,5571,5389,32461400,31880000,38915400,29264.314,30090.372000000003,31444.299,110.92486227423612,105.94751038637872,123.75979505855736
88,Philippines,26.55592537,31.28583527,34.49840927,2374,2944,3157,94189800,111326000,115825000,95570.049,100513.13699999999,105172.921,98.55577242614996,110.75766145872059,110.12815741801067
89,Poland,70.19429016,77.86217499,86.73330688,11860,12169,11642,50160200,56905300,50458900,38286.824,38091.095,37953.176,131.01165037873082,149.39265988546666,132.9504018319837
90,Portugal,81.22942352,87.38635254,92.34098816,18707,17752,17264,12334600,11895600,11764100,10569.388,10418.224,10288.527,116.70117512953446,114.18068953019247,114.3419266917412
91,Romania,44.59162521,60.83715439,57.75180435,7149,8056,8556,23420000,22920000,22400000,20336.718,20035.928,19653.966,115.16115825572248,114.39450171711539,113.97190775642943
92,Russian Federation,48.17848969,67.38309479,75.75888824,11267,11060,8553,203752000,221030000,227300000,143703.027,144664.837,145530.091,141.78685324422568,152.7876466621948,156.18762995207638
