,country_name,2011_AO,2014_AO,2017_AO,2011_pci,2014_pci,2017_pci
130,Lithuania,73.75519562,77.90628815,82.88385009999999,12010,14162,14112
131,Lithuania,73.75519562,77.90628815,82.88385009999999,12010,14162,14112
132,Luxembourg,94.58679199,96.16869354,98.76785278,66255,65254,56294
133,Luxembourg,94.58679199,96.16869354,98.76785278,66255,65254,56294
134,Madagascar,5.523222923,8.551339149,17.86787033,453,441,436
135,Madagascar,5.523222923,8.551339149,17.86787033,453,441,436
136,Malawi,16.54061127,18.09241867,33.71393204,425,279,268
137,Malawi,16.54061127,18.09241867,33.71393204,425,279,268
138,Malaysia,66.17381287,80.67462158,85.34375,7881,8431,7628
139,Malaysia,66.17381287,80.67462158,85.34375,7881,8431,7628
140,Mali,8.213852882000001,20.07604027,35.41667938,661,691,664
141,Mali,8.213852882000001,20.07604027,35.41667938,661,691,664
142,Mauritania,17.46181488,22.86588287,20.872507100000004,1424,1249,1260
143,Mauritania,17.46181488,22.86588287,20.872507100000004,1424,1249,1260
144,Mauritius,80.12320709,82.20826721,89.8425293,7493,9079,9681
145,Mauritius,80.12320709,82.20826721,89.8425293,7493,9079,9681
146,Mexico,27.42938423,39.14084625,36.9319191,7876,8544,7251
147,Mexico,27.42938423,39.14084625,36.9319191,7876,8544,7251
148,Moldova,18.06632042,17.75574684,43.78565216,2930,3303,3279
149,Moldova,18.06632042,17.75574684,43.78565216,2930,3303,3279
150,Mongolia,77.71708679,91.82178497,92.97116852,2529,2974,2132
151,Mongolia,77.71708679,91.82178497,92.97116852,2529,2974,2132
152,Montenegro,50.43801498,59.82601166,68.36179352,6565,6480,6884
153,Montenegro,50.43801498,59.82601166,68.36179352,6565,6480,6884
154,Nepal,25.30855751,33.80134964,45.38557434,642,691,816
155,Nepal,25.30855751,33.80134964,45.38557434,642,691,816
156,Netherlands,98.65853119,99.29560089,99.63761902,45259,43355,40898
157,Netherlands,98.65853119,99.29560089,99.63761902,45259,43355,40898
158,New Zealand,99.43672943,99.52553558,99.17844391,30788,36233,34385
159,New Zealand,99.43672943,99.52553558,99.17844391,30788,36233,34385
160,Nicaragua,14.21833229,19.43848419,30.86199188,1403,1633,1837
161,Nicaragua,14.21833229,19.43848419,30.86199188,1403,1633,1837
162,Niger,1.5216987130000001,6.7065877910000005,15.52324486,453,477,439
163,Niger,1.5216987130000001,6.7065877910000005,15.52324486,453,477,439
164,Nigeria,29.66753769,44.44198608,39.66685867,1900,2646,1585
165,Nigeria,29.66753769,44.44198608,39.66685867,1900,2646,1585
166,North America,88.76815033,94.15715027,93.8115387,42631,47097,49866
167,North America,88.76815033,94.15715027,93.8115387,42631,47097,49866
168,North Macedonia,73.69894409,71.79850006,76.56877136,3922,4271,4205
169,North Macedonia,73.69894409,71.79850006,76.56877136,3922,4271,4205
170,Pakistan,10.30629635,13.03619194,21.29324532,1126,1235,1456
171,Pakistan,10.30629635,13.03619194,21.29324532,1126,1235,1456
172,Panama,24.9264946,43.66213989,46.49425888,8352,10967,13189
173,Panama,24.9264946,43.66213989,46.49425888,8352,10967,13189
174,Peru,20.45868492,28.97523308,42.60317993,4671,5571,5389
175,Peru,20.45868492,28.97523308,42.60317993,4671,5571,5389
176,Philippines,26.55592537,31.28583527,34.49840927,2374,2944,3157
177,Philippines,26.55592537,31.28583527,34.49840927,2374,2944,3157
178,Poland,70.19429016,77.86217499,86.73330688,11860,12169,11642
179,Poland,70.19429016,77.86217499,86.73330688,11860,12169,11642
180,Portugal,81.22942352,87.38635254,92.34098816,18707,17752,17264
181,Portugal,81.22942352,87.38635254,92.34098816,18707,17752,17264
182,Romania,44.59162521,60.83715439,57.75180435,7149,8056,8556
183,Romania,44.59162521,60.83715439,57.75180435,7149,8056,8556
184,Russian Federation,48.17848969,67.38309479,75.75888824,11267,11060,8553
185,Russian Federation,48.17848969,67.38309479,75.75888824,11267,11060,8553
186,Rwanda,32.76382065,42.11691284,50.01979446,545,590,595
187,Rwanda,32.76382065,42.11691284,50.01979446,545,590,595
188,Saudi Arabia,46.42066193,69.40958405,71.69812012,18570,19451,17074
189,Saudi Arabia,46.42066193,69.40958405,71.69812012,18570,19451,17074
190,Senegal,5.821141243,15.42457199,42.34401703,1198,1211,1148
191,Senegal,5.821141243,15.42457199,42.34401703,1198,1211,1148
192,Serbia,62.21622086,83.09233856,71.44104767,5564,5297,4863
193,Serbia,62.21622086,83.09233856,71.44104767,5564,5297,4863
194,Sierra Leone,15.34175587,15.58001041,19.80875969,375,572,401
195,Sierra Leone,15.34175587,15.58001041,19.80875969,375,572,401
196,Singapore,98.22189331,96.35260009999999,97.9311676,45068,47718,47737
197,Singapore,98.22189331,96.35260009999999,97.9311676,45068,47718,47737
198,Slovak Republic,79.58301544,77.24139404,84.18158722,14071,14602,13737
199,Slovak Republic,79.58301544,77.24139404,84.18158722,14071,14602,13737
200,Slovenia,97.1437149,97.24451447,97.53340149,19719,18976,18545
201,Slovenia,97.1437149,97.24451447,97.53340149,19719,18976,18545
202,South Africa,53.64507294,70.31745148,69.2184906,6382,5168,4957
203,South Africa,53.64507294,70.31745148,69.2184906,6382,5168,4957
204,South Asia,32.38194275,46.54095459,69.55911255,1204,1326,1663
205,South Asia,32.38194275,46.54095459,69.55911255,1204,1326,1663
206,South Asia,32.38194275,46.54095459,69.55911255,1204,1326,1663
207,South Asia,32.38194275,46.54095459,69.55911255,1204,1326,1663
208,Spain,93.27760315,97.57530975,93.75570679,26176,24651,23805
209,Spain,93.27760315,97.57530975,93.75570679,26176,24651,23805
210,Sri Lanka,68.52616882,82.69138336,73.64646149,2960,3451,3670
211,Sri Lanka,68.52616882,82.69138336,73.64646149,2960,3451,3670
212,Sweden,98.99195099,99.71991729999999,99.74221039,51553,50801,45490
213,Sweden,98.99195099,99.71991729999999,99.74221039,51553,50801,45490
214,Tajikistan,2.534857273,11.45923328,47.02439499,896,1186,870
215,Tajikistan,2.534857273,11.45923328,47.02439499,896,1186,870
216,Tanzania,17.25776863,39.77947617,46.75156403,678,874,818
217,Tanzania,17.25776863,39.77947617,46.75156403,678,874,818
218,Thailand,72.66643524,78.1365509,81.59400177,4363,4492,5084
219,Thailand,72.66643524,78.1365509,81.59400177,4363,4492,5084
220,Togo,10.18523979,18.25146294,45.28935242,448,461,456
221,Togo,10.18523979,18.25146294,45.28935242,448,461,456
222,Turkey,57.60142899,56.6774826,68.59030914,9573,10203,8711
223,Turkey,57.60142899,56.6774826,68.59030914,9573,10203,8711
224,Uganda,20.46142006,44.447155,59.19915009,635,621,496
225,Uganda,20.46142006,44.447155,59.19915009,635,621,496
226,Ukraine,41.26857376,52.71481323,62.90233231,2909,2632,2236
227,Ukraine,41.26857376,52.71481323,62.90233231,2909,2632,2236
228,United Kingdom,97.20128632,98.93105316,96.36631775,35731,39477,33877
229,United Kingdom,97.20128632,98.93105316,96.36631775,35731,39477,33877
230,United States,87.95786285,93.58380127,93.12218475,42636,47715,51309
231,United States,87.95786285,93.58380127,93.12218475,42636,47715,51309
232,Uruguay,23.54260063,45.58572769,63.86800385,12882,14394,14467
233,Uruguay,23.54260063,45.58572769,63.86800385,12882,14394,14467
234,Uzbekistan,22.50391769,40.71001434,37.08973694,1581,2205,1643
235,Uzbekistan,22.50391769,40.71001434,37.08973694,1581,2205,1643
236,Vietnam,21.36949348,30.950944899999996,30.79579163,1254,1693,1937
237,Vietnam,21.36949348,30.950944899999996,30.79579163,1254,1693,1937
238,Zambia,21.36491013,35.64487076,45.86325836,1140,1321,1104
239,Zambia,21.36491013,35.64487076,45.86325836,1140,1321,1104
240,Zimbabwe,39.65121078,32.38925171,55.28513718,793,1134,1233
241,Zimbabwe,39.65121078,32.38925171,55.28513718,793,1134,1233
