Unnamed: 0,Country_name,x2011_AO,x2014_AO,x2017_AO,x2011_PCI,x2014_PCI,x2017_PCI,x2011_SUBS,x2014_SUBS,x2017_SUBS,2011,2014,2017,x2011_SUBS_norm,x2014_SUBS_norm,x2017_SUBS_norm
54,Israel,90.46863556,89.95277405,92.81496429,28661,32443,34855,9200000,9500000,10540000,7487.095,7854.216,8243.849,1.228780989,1.209541474,1.278528998
55,Italy,71.00852966,87.33457947,93.78501892,31632,29022,26892,96040900,89914600,83871500,59589.07,60409.622,60673.694,1.611720069,1.488415206,1.382337129
56,Japan,96.42204285,96.64558411,98.24339294,38101,30689,31208,132761000,157857000,172790000,128498.966,128168.63,127502.728,1.033167847,1.231635229,1.355186691
57,Jordan,25.47109795,24.61591148,42.49302292,3460,3725,3798,7482560,11092400,9703290,7662.858,8918.822,9785.84,0.976471181,1.243706848,0.991564342
58,Kazakhstan,42.10509491,53.9074173,58.69753265,7106,8826,6544,25240800,28595600,26693300,16490.669,17302.619,18080.023,1.530611038,1.652674662,1.476397458
59,Kenya,42.34345627,74.65783691,81.56756592,821,1082,1277,28080800,33632600,42815100,43178.27,46700.063,50221.146,0.650345648,0.720183183,0.852531322
61,Kuwait,86.77324677,72.90818024,79.84015656,41128,38971,29362,4934160,7600000,7138830,3168.054,3690.939,4056.102,1.557473452,2.059096615,1.760022307
63,Latvia,89.65882874,90.21825409,93.22247314,10444,11887,12038,2309000,2384000,2464120,2093.606,2021.22,1951.097,1.102881822,1.179485657,1.262940797
64,Lebanon,37.02732468,46.92713547,44.75142288,6282,6222,6268,3456650,4387280,4399090,5202.022,6261.046,6819.373,0.664482003,0.700726364,0.645087166
65,Lithuania,73.75519562,77.90628815,82.8838501,12010,14162,14112,4938000,4267590,4361330,3083.402,2971.498,2845.419,1.601477848,1.436174616,1.53275493
66,Luxembourg,94.58679199,96.16869354,98.76785278,66255,65254,56294,764973,802400,794000,519.312,554.512,591.914,1.473050883,1.447038116,1.341411083
67,Madagascar,5.523222923,8.551339149,17.86787033,453,441,436,8680770,9713880,8730500,21743.97,23589.897,25570.511,0.399226544,0.411781366,0.341428452
68,Malawi,16.54061127,18.09241867,33.71393204,425,279,268,3951570,5632510,7772500,14962.118,16289.55,17670.193,0.264104988,0.345774438,0.439865031
