,Country name,2011 AO,2014 AO,2017 AO,2011 PCI ,2014 PCI,2017 PCI,2011 SUBS,2014 SUBS,2017 SUBS
90,Portugal,81.22942352,87.38635254,92.34098816,18707,17752,17264,12334600,11895600,11764100
91,Romania,44.59162521,60.83715439,57.75180435,7149,8056,8556,23420000,22920000,22400000
92,Russian Federation,48.17848969,67.38309479,75.75888824,11267,11060,8553,203752000,221030000,227300000
93,Rwanda,32.76382065,42.11691284,50.01979446,545,590,595,4446190,7747020,8819220
94,Saudi Arabia,46.42066193,69.40958405,71.69812012,18570,19451,17074,54000000,52735000,40211000
95,Senegal,5.821141243,15.42457199,42.34401703,1198,1211,1148,9352870,14379700,15758400
96,Serbia,62.21622086,83.09233856,71.44104767,5564,5297,4863,10182000,9344980,8621770
97,Sierra Leone,15.34175587,15.58001041,19.80875969,375,572,401,2137000,4756800,6625000
98,Singapore,98.22189331,96.35260009999999,97.9311676,45068,47718,47737,7794300,8103800,8381900
99,Slovak Republic,79.58301544,77.24139404,84.18158722,14071,14602,13737,5983060,6378100,7117750
100,Slovenia,97.1437149,97.24451447,97.53340149,19719,18976,18545,2168550,2326390,2443170
101,South Africa,53.64507294,70.31745148,69.2184906,6382,5168,4957,64000000,79280700,88497600
102,South Asia,32.38194275,46.54095459,69.55911255,1204,1326,1663,1133612138,1271478854,1554226943
104,Spain,93.27760315,97.57530975,93.75570679,26176,24651,23805,52590500,50806300,52506900
105,Sri Lanka,68.52616882,82.69138336,73.64646149,2960,3451,3670,18319400,22123000,28199100
106,Sweden,98.99195099,99.71991729999999,99.74221039,51553,50801,45490,11454300,12312500,12519300
107,Tajikistan,2.534857273,11.45923328,47.02439499,896,1186,870,6324000,7999100,9904000
108,Tanzania,17.25776863,39.77947617,46.75156403,678,874,818,25666500,31862700,39953900
109,Thailand,72.66643524,78.1365509,81.59400177,4363,4492,5084,77449000,97096000,121530000
110,Togo,10.18523979,18.25146294,45.28935242,448,461,456,2695340,4516110,6069910
111,Turkey,57.60142899,56.6774826,68.59030914,9573,10203,8711,65321700,71888400,77800200
112,Uganda,20.46142006,44.447155,59.19915009,635,621,496,16697000,20365900,24948900
113,Ukraine,41.26857376,52.71481323,62.90233231,2909,2632,2236,55576500,61170200,55714700
114,United Kingdom,97.20128632,98.93105316,96.36631775,35731,39477,33877,77162300,78460700,79152800
115,United States,87.95786285,93.58380127,93.12218475,42636,47715,51309,297404000,355500000,400206000
116,Uruguay,23.54260063,45.58572769,63.86800385,12882,14394,14467,4757430,5497090,5097570
117,Uzbekistan,22.50391769,40.71001434,37.08973694,1581,2205,1643,25441800,21639200,24265500
118,Vietnam,21.36949348,30.950944899999996,30.79579163,1254,1693,1937,127318000,136148000,120016000
119,Zambia,21.36491013,35.64487076,45.86325836,1140,1321,1104,8164550,10114900,13438500
120,Zimbabwe,39.65121078,32.38925171,55.28513718,793,1134,1233,9200000,11798700,14092100
